time,return,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10
1,0.006384461097458161,0.006384461097458161,-0.03072467748669605,-0.015435179661843157,-0.014416131714286795,-0.005801044111463871,-0.017421602787456414,-0.03319188869880452,-0.020639147802929414,-0.0024721878862793423,-0.02089478859390359,0.009471580125186563
2,0.0037647427417917267,0.0037647427417917267,0.007476076862046321,0.007755211146428742,-0.0029864511762718315,-0.0070362734199092,-0.007844401461422734,-0.01781104915619891,0.002719238613188235,-0.013630731102850069,0.002510670348983224,0.004279807761863319
3,-0.0011618962070774064,-0.0011618962070774064,-0.00845947934192448,-0.0008274720728175256,0.009841751500875517,0.013653646605304104,0.011047330228528107,-0.04099872131199522,0.019661016949152454,0.004606365159129044,0.012271475081392369,0.008359320607462806
4,0.0016652165347093018,0.0016652165347093018,-0.014518803414899306,-0.014409958106884058,-0.019612669689945017,-0.002387031459708755,-0.004392072844135009,0.041929328393340404,0.0146276595744681,0.01542309295539801,0.025235032162295834,-0.01592977137425644
5,-0.007256565211683386,-0.007256565211683386,-0.04237541397347322,0.003865200974962457,0.0012349011372490004,-0.005127283170703989,-0.004626640843555019,-0.05444503279164714,-0.010484927916120546,0.0016420361247948545,0.007480694980694924,-0.005450971689200057
6,-0.00023782354133117245,-0.00023782354133117245,0.012212537146409241,0.03080275410744604,0.05334236508883827,0.012369013137965235,0.004323856880337207,0.01585533278027329,0.014569536423840956,-0.015573770491803307,0.005269461077844317,-0.005480784277947626
7,-0.01635096881921516,-0.01635096881921516,-0.04512693641314458,-0.0021112266227669707,0.0030443210398058973,-0.011030045109781339,-0.005812076202776906,0.014786456727745367,-0.0013054830287205776,-0.012073272273105728,-0.01644031451036454,-0.00517704354978854
8,0.0045356892119050585,0.0045356892119050585,-0.0162454526760627,-0.0030922359448538606,-0.004319115590474376,0.009265597148533367,-0.004979971852333009,-0.019427961403468363,0.019607843137254832,0.028655710071639362,0.009932170542635621,0.01527614322769888
9,-0.016213587335965784,-0.016213587335965784,-0.035696403042772995,-0.002530385803374835,-0.0023448569958124388,0.0018701388064705782,-0.004134479382004175,0.0443038003750269,0.01602564102564097,0.028267103646046676,0.0047973135044374615,0.0009920862061036928
10,-0.006342586611898127,-0.006342586611898127,-0.032866311723644626,-0.012111332919905848,-0.028908790088197134,-0.01646022738812436,-0.007429258166721242,-0.020026343524790158,0.0309148264984227,-0.013545816733067761,-0.007400334208641723,0.0018169905630667227
11,-0.008489022887163578,-0.008489022887163578,0.0003577259491729379,-0.011017169728098297,-0.04913173919446112,-0.007073824939060502,-0.008255365987892116,-0.026888986376163992,-0.006119951040391647,0.006865912762520132,-0.015392015392015401,-0.01434464508975819
12,0.020352415732846962,0.020352415732846962,0.009654942116590126,0.0003350568773619056,0.011199468005698598,0.0034752355393230516,0.006992230854605985,0.022934497278049193,0.005541871921182162,0.04051343762535109,0.0034196384953590897,0.014553408570548987
13,0.02401520473971619,0.02401520473971619,-0.04179211190607046,0.0003348424410953843,0.00018880243145846798,-0.005194841439468578,-0.005621073514824215,-0.016207440398734785,0.006736068585425636,0.010408635312258996,0.00778967867575453,0.002802937587277343
14,0.004570048934014581,0.004570048934014581,0.04453889891383711,0.001004497607127508,0.006102939583766176,0.012358590182150797,-0.00022168033695413314,-0.04887423812595926,-0.0012165450121655041,-0.03510110644792064,-0.004347826086956497,0.0011509321798002237
15,0.003810463907886641,0.003810463907886641,-0.02229303124602844,-0.013546344101903363,-0.021387030446906485,-0.0015474251285311214,-0.009534368070953425,-0.09237873397118579,0.003045066991473888,-0.010280743376828827,0.007520621057738985,0.01888654191831729
16,0.0017463617463617798,0.0017463617463617798,0.033659078299804746,-0.0015257496247452762,0.0051760095546597995,-0.0005166625308482553,-0.007387508394895881,0.008587770340426015,0.005464480874316946,0.01558130243707545,0.00024078979051278537,-0.003546118914515728
17,-0.00013929653841071588,-0.00013929653841071588,-0.022408942633617035,-0.0037354820637272024,-0.0036235987413680837,-0.009476193879822903,-0.004059539918809252,-0.044465478478494025,-0.015096618357487879,-0.037765538945711996,-0.009388541165141984,-0.0006470546057069093
18,0.003309574570383944,0.003309574570383944,-0.019878234371747627,0.01857694829835954,0.02800990025028094,-0.01356758874259556,0.0,-0.007590759777070022,0.01716738197424883,-0.0012264922322158256,0.018226002430133725,-0.002427933216986644
19,0.0008617745425745227,0.0008617745425745227,-0.020464077128676705,-0.011377977997728328,-0.022840062561794716,0.0008816988957072169,-0.0028306159420289356,0.060525415246356795,-0.004822182037371947,0.007777322963569366,-0.00548926014319806,0.006165783657832158
20,-0.0048886047197381766,-0.0048886047197381766,0.009513119114472168,0.015655412341901043,0.03150402201107405,0.010923149494242557,-0.003519927330532524,-0.029789838015167325,-0.01514233797698361,-0.021933387489845635,-0.0038396928245740813,-0.00048377326413273636
21,-0.010310858415930158,-0.010310858415930158,-0.015705810992178715,-0.013581009349231565,-0.04156405173941624,-0.010630859392204428,0.0,-0.06625732237450377,-0.02337023370233704,-0.02034883720930236,-0.017827029631414137,-0.027589530446952892
22,-0.0003399636723855348,-0.0003399636723855348,-0.010887963695711989,0.0017737778044026875,0.01085773402932455,0.0,-0.011622607110300831,0.039460049991153046,-0.0031486146095718315,-0.0144128868164477,-0.01643365219524162,-0.011448458959155361
23,-0.018278105145113743,-0.018278105145113743,-0.050294131338965875,0.015092769320457444,0.0282827407316939,-0.016029607076777586,-0.009338252248097811,-0.040293057160516565,0.02590018951358175,0.01333333333333342,0.03715710723192012,0.018966049323432266
24,-0.008893471722946522,-0.008893471722946522,-0.042166278412213876,0.012791780132704655,0.02620679671076398,0.003938388131620396,-0.001745606889328566,0.019430948948972793,-0.0024630541871921707,0.004668930390492321,0.010819908631882758,-0.008400565462430398
25,0.01162984267174294,0.01162984267174294,0.015021932320442133,-0.007135301315331799,-0.005601421935645723,-0.0028530304158856934,0.009559337840988613,-0.02280459941742441,-0.021604938271604923,-0.020701309674693746,0.0016650808753568835,0.0038205903541768116
26,0.017888280629516196,0.017888280629516196,0.0028776852057026403,-0.0018172403900885703,-0.0096305508494402,0.003934162363734339,0.017436489607390193,0.019505396472816905,-0.0050473186119873725,-0.021570319240724722,-0.0073616718119211555,0.002151267043831284
27,-0.008403811034715436,-0.008403811034715436,-0.008813287499630618,0.0062892878454074985,0.0021405325528340846,-0.005878160543278277,-0.006242197253433224,0.0064913061525839755,0.015218769816106592,-0.005731922398589107,0.0062200956937799035,0.003302459440339245
28,-0.008093685160912578,-0.008093685160912578,-0.04735320278381394,0.013733512476870935,0.009093138701357084,-0.009854834224110265,0.0039972590223846804,-0.05125594630159869,0.004372267332916957,-0.014634146341463428,-0.03613884926295763,-0.016951922444866874
29,-0.0025785552362955766,-0.0025785552362955766,-0.003907104544565554,0.0012980430920994657,0.03568189646401665,-0.030401777154650755,-0.003753839153679883,0.052951698700341554,-0.040422885572139355,-0.013501350135013523,-0.013320177602368033,0.007031675654803671
30,-0.005813067327385291,-0.005813067327385291,0.05643931547255865,8.09977979279175e-05,-0.009868649670677465,-0.04703244949067953,-0.008221055035396163,0.09853889029804908,-0.012313674659753748,-0.01870437956204385,-0.007499999999999951,-0.019451404055895072
31,-0.009247875921837956,-0.009247875921837956,-0.04599834082699461,0.024546278482289408,0.006900246765207063,0.02271840514872059,0.014621229564816929,-0.02319828232431942,-0.002624671916010457,-0.009298000929800043,-0.0015113350125944836,0.008647035269392367
32,0.013424199395820402,0.013424199395820402,0.05275672706397794,0.00964661478074924,0.03900898307249023,0.016468778946261198,0.01792806081924425,-0.009816307468465624,0.018421052631578894,0.0,0.0007568113017153433,-0.00437051821977974
33,0.0015499523698385698,0.0015499523698385698,-0.047237611458852524,0.013548380003948202,0.011725586523940734,-0.014506431776758255,-0.0003344108795005907,-0.09465941636323005,0.008397932816537557,0.007977475363678987,-0.009831106629694997,-0.024311981054163878
